"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.223652533E0,1.872711182E1,-4.164123535E0,-4.411010742E1,4.810141597E1
6.243794134E0,2.052612305E1,-4.014587402E0,-4.290924072E1,4.773511892E1
6.263935736E0,1.917724609E1,-3.263854980E0,-4.335937500E1,4.752320399E1
6.285023382E0,1.962738037E1,-4.164123535E0,-4.245910645E1,4.696115102E1
6.304279974E0,1.887664795E1,-2.964782715E0,-4.395904541E1,4.793240499E1
6.324330023E0,1.812591553E1,-4.014587402E0,-4.125976562E1,4.524415968E1
6.344471625E0,1.812591553E1,-4.014587402E0,-4.395904541E1,4.771858547E1
6.364613226E0,1.842651367E1,-4.014587402E0,-4.365997314E1,4.755887481E1
6.384754828E0,1.797637939E1,-1.763916016E0,-4.216003418E1,4.586643760E1
6.404896429E0,1.902618408E1,-4.164123535E0,-4.245910645E1,4.671307446E1
6.425038031E0,1.872711182E1,-3.414916992E0,-4.275970459E1,4.680554146E1
6.445179632E0,1.962738037E1,-1.464843750E0,-4.170989990E1,4.612044641E1
6.465321234E0,1.872711182E1,-2.813720703E0,-4.440917969E1,4.827832828E1
6.487019232E0,1.842651367E1,-4.313659668E0,-4.230957031E1,4.634915108E1
6.505604437E0,1.797637939E1,-3.865051270E0,-4.305877686E1,4.682037059E1
6.525746039E0,1.872711182E1,-3.414916992E0,-4.035949707E1,4.462348461E1
6.545887640E0,1.827697754E1,-2.514648438E0,-4.411010742E1,4.781289514E1
6.566059759E0,1.797637939E1,-3.114318848E0,-4.245910645E1,4.621282201E1
6.586231879E0,2.007598877E1,-3.414916992E0,-4.350891113E1,4.803886272E1
