"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.354729440E0,2.352600098E1,-1.466369629E1,-4.515991211E1,5.298975724E1
2.374840524E0,2.472686768E1,-1.616363525E1,-4.335937500E1,5.246633673E1
2.395012643E0,2.397613525E1,-1.526489258E1,-4.470977783E1,5.297958325E1
2.415154244E0,2.472686768E1,-1.586456299E1,-4.425964355E1,5.312267305E1
2.435295846E0,2.517700195E1,-1.646423340E1,-4.485931396E1,5.401213251E1
2.455467965E0,2.517700195E1,-1.571502686E1,-4.515991211E1,5.403944076E1
2.475579049E0,2.307739258E1,-1.466369629E1,-4.350891113E1,5.138691842E1
2.495720651E0,2.592620850E1,-1.601409912E1,-4.305877686E1,5.275109404E1
2.515862252E0,2.487640381E1,-1.436462402E1,-4.305877686E1,5.176133841E1
2.536034371E0,2.532653809E1,-1.526489258E1,-4.425964355E1,5.322937652E1
2.556145455E0,2.472686768E1,-1.556396484E1,-4.335937500E1,5.228470510E1
2.576317574E0,2.442626953E1,-1.646423340E1,-4.411010742E1,5.304163649E1
2.596459176E0,2.397613525E1,-1.391448975E1,-4.425964355E1,5.222436342E1
2.616600778E0,2.487640381E1,-1.301422119E1,-4.545898438E1,5.342962362E1
2.636681344E0,2.427673340E1,-1.556396484E1,-4.290924072E1,5.169912693E1
2.656853463E0,2.547607422E1,-1.496429443E1,-4.515991211E1,5.396645372E1
2.676995065E0,2.352600098E1,-1.646423340E1,-4.485931396E1,5.326257366E1
2.697136666E0,2.427673340E1,-1.616363525E1,-4.470977783E1,5.338152417E1
2.717278268E0,2.517700195E1,-1.601409912E1,-4.275970459E1,5.214139560E1
2.737450387E0,2.247619629E1,-1.541442871E1,-4.485931396E1,5.248944714E1
2.757561471E0,2.367706299E1,-1.346435547E1,-4.290924072E1,5.082415882E1
2.777703073E0,2.592620850E1,-1.466369629E1,-4.411010742E1,5.322493638E1
2.797814157E0,2.397613525E1,-1.481475830E1,-4.335937500E1,5.171428744E1
2.817986276E0,2.277679443E1,-1.406402588E1,-4.485931396E1,5.223923083E1
2.838127877E0,2.442626953E1,-1.496429443E1,-4.350891113E1,5.209220766E1
2.858269479E0,2.517700195E1,-1.496429443E1,-4.411010742E1,5.294821160E1
2.878411080E0,2.667694092E1,-1.451416016E1,-4.335937500E1,5.293727819E1
2.898216989E0,2.592620850E1,-1.436462402E1,-4.380950928E1,5.289408108E1
2.918694283E0,2.517700195E1,-1.646423340E1,-4.440917969E1,5.363886324E1
2.938530709E0,2.442626953E1,-1.601409912E1,-4.350891113E1,5.240342891E1
2.959008004E0,2.532653809E1,-1.526489258E1,-4.530944824E1,5.410542096E1
2.979149606E0,2.592620850E1,-1.466369629E1,-4.411010742E1,5.322493638E1
2.999291207E0,2.472686768E1,-1.451416016E1,-4.395904541E1,5.248310684E1
3.019432809E0,2.352600098E1,-1.676483154E1,-4.380950928E1,5.247671295E1
3.039574410E0,2.442626953E1,-1.646423340E1,-4.350891113E1,5.254273473E1
3.059716012E0,2.532653809E1,-1.616363525E1,-4.425964355E1,5.349404344E1
3.083977487E0,2.502593994E1,-1.421508789E1,-4.500885010E1,5.342436692E1
3.099663522E0,2.427673340E1,-1.556396484E1,-4.530944824E1,5.370794062E1
3.119774606E0,2.637634277E1,-1.616363525E1,-4.470977783E1,5.436854602E1
