Time (s),Bx (µT),By (µT),Bz (µT),Bt (µT)
2.28E+00,1.95E+01,-2.66E+00,-4.34E+01,4.76E+01
2.30E+00,2.01E+01,-3.41E+00,-4.25E+01,4.71E+01
2.32E+00,1.78E+01,-2.21E+00,-4.13E+01,4.50E+01
2.34E+00,1.95E+01,-3.26E+00,-4.29E+01,4.72E+01
2.36E+00,1.80E+01,-2.06E+00,-4.25E+01,4.62E+01
2.38E+00,1.77E+01,-4.16E+00,-4.35E+01,4.71E+01
2.40E+00,1.93E+01,-2.51E+00,-4.44E+01,4.85E+01
2.42E+00,1.93E+01,-2.81E+00,-4.25E+01,4.67E+01
2.44E+00,1.89E+01,-4.01E+00,-4.43E+01,4.83E+01
2.46E+00,1.80E+01,-3.11E+00,-4.35E+01,4.72E+01
2.48E+00,1.77E+01,-3.11E+00,-4.14E+01,4.51E+01
2.50E+00,2.01E+01,-2.81E+00,-4.41E+01,4.85E+01
2.52E+00,1.81E+01,-1.61E+00,-4.16E+01,4.54E+01
2.54E+00,1.83E+01,-2.81E+00,-4.14E+01,4.54E+01
2.56E+00,1.84E+01,-4.01E+00,-4.23E+01,4.63E+01
2.58E+00,1.99E+01,-1.61E+00,-4.40E+01,4.83E+01
2.60E+00,2.02E+01,-2.96E+00,-4.13E+01,4.60E+01
2.62E+00,1.92E+01,-4.01E+00,-4.29E+01,4.72E+01
2.64E+00,1.96E+01,-4.16E+00,-4.35E+01,4.79E+01
2.66E+00,1.96E+01,-2.06E+00,-4.22E+01,4.66E+01
2.68E+00,1.93E+01,-3.11E+00,-4.35E+01,4.77E+01
2.70E+00,1.84E+01,-3.26E+00,-4.26E+01,4.65E+01
2.72E+00,1.75E+01,-2.66E+00,-4.29E+01,4.64E+01
2.74E+00,1.96E+01,-3.41E+00,-4.04E+01,4.50E+01
2.76E+00,1.95E+01,-1.91E+00,-4.26E+01,4.69E+01
2.78E+00,1.90E+01,-4.16E+00,-4.17E+01,4.60E+01
2.80E+00,1.84E+01,-2.66E+00,-4.23E+01,4.62E+01
2.82E+00,1.78E+01,-3.26E+00,-4.34E+01,4.70E+01
2.84E+00,2.05E+01,-3.71E+00,-4.29E+01,4.77E+01
2.86E+00,1.80E+01,-2.81E+00,-4.25E+01,4.62E+01
2.88E+00,1.90E+01,-2.06E+00,-4.25E+01,4.66E+01
2.90E+00,1.80E+01,-2.06E+00,-4.11E+01,4.49E+01
2.92E+00,1.90E+01,-3.87E+00,-4.38E+01,4.79E+01
2.94E+00,1.69E+01,-3.11E+00,-4.31E+01,4.64E+01
2.96E+00,1.57E+01,-2.66E+00,-4.23E+01,4.52E+01
2.98E+00,1.89E+01,-1.31E+00,-4.16E+01,4.57E+01
3.00E+00,1.92E+01,-2.21E+00,-4.29E+01,4.71E+01
3.02E+00,1.78E+01,-2.96E+00,-4.23E+01,4.60E+01
3.04E+00,1.90E+01,-3.87E+00,-4.35E+01,4.76E+01
3.06E+00,1.78E+01,-2.21E+00,-4.37E+01,4.72E+01
3.08E+00,1.89E+01,-2.66E+00,-4.29E+01,4.70E+01
3.10E+00,1.84E+01,-8.64E-01,-4.26E+01,4.64E+01
3.12E+00,1.95E+01,-1.61E+00,-4.29E+01,4.72E+01
3.14E+00,1.83E+01,-3.41E+00,-4.22E+01,4.61E+01
3.16E+00,1.63E+01,-2.06E+00,-4.22E+01,4.53E+01
3.18E+00,1.96E+01,-2.06E+00,-4.17E+01,4.61E+01
3.20E+00,1.68E+01,-2.66E+00,-4.23E+01,4.56E+01
3.22E+00,1.95E+01,-2.66E+00,-4.40E+01,4.82E+01
3.24E+00,1.90E+01,-1.46E+00,-4.35E+01,4.75E+01
3.26E+00,1.93E+01,-2.06E+00,-4.25E+01,4.67E+01
3.28E+00,2.02E+01,-3.26E+00,-4.37E+01,4.82E+01
3.30E+00,1.77E+01,-1.76E+00,-4.14E+01,4.51E+01
3.32E+00,1.92E+01,-1.31E+00,-4.43E+01,4.83E+01
3.34E+00,1.83E+01,-2.06E+00,-4.44E+01,4.81E+01
3.36E+00,1.77E+01,-1.16E+00,-4.35E+01,4.70E+01
3.38E+00,1.83E+01,-3.41E+00,-4.14E+01,4.54E+01
3.40E+00,1.99E+01,-3.26E+00,-4.34E+01,4.78E+01
3.42E+00,1.95E+01,-2.21E+00,-4.19E+01,4.62E+01
3.44E+00,1.72E+01,-3.11E+00,-4.41E+01,4.75E+01
3.46E+00,1.90E+01,-2.81E+00,-4.38E+01,4.78E+01
3.48E+00,1.78E+01,-2.21E+00,-4.29E+01,4.65E+01
3.50E+00,1.95E+01,-2.66E+00,-4.43E+01,4.84E+01
3.52E+00,1.83E+01,-2.06E+00,-4.28E+01,4.65E+01
3.54E+00,1.92E+01,-2.21E+00,-4.43E+01,4.83E+01
3.56E+00,1.78E+01,-1.91E+00,-4.16E+01,4.53E+01
3.59E+00,1.89E+01,-2.66E+00,-4.40E+01,4.79E+01
3.61E+00,1.90E+01,-2.81E+00,-4.31E+01,4.72E+01
3.63E+00,1.87E+01,-2.51E+00,-4.41E+01,4.80E+01
3.65E+00,2.08E+01,-3.26E+00,-4.26E+01,4.75E+01
3.67E+00,1.87E+01,-3.11E+00,-4.28E+01,4.68E+01
3.69E+00,1.77E+01,-2.81E+00,-4.31E+01,4.66E+01
3.71E+00,1.84E+01,-2.96E+00,-4.37E+01,4.75E+01
3.73E+00,1.95E+01,-1.61E+00,-4.56E+01,4.96E+01
3.75E+00,1.96E+01,-2.81E+00,-4.25E+01,4.69E+01
3.77E+00,1.90E+01,-3.41E+00,-4.35E+01,4.76E+01
3.79E+00,1.95E+01,-2.96E+00,-4.50E+01,4.91E+01
3.81E+00,1.89E+01,-2.66E+00,-4.50E+01,4.89E+01
3.83E+00,1.93E+01,-3.11E+00,-4.31E+01,4.73E+01
3.85E+00,1.95E+01,-4.01E+00,-4.43E+01,4.85E+01
3.87E+00,2.05E+01,-2.66E+00,-4.50E+01,4.95E+01
3.89E+00,1.87E+01,-3.11E+00,-4.28E+01,4.68E+01
3.91E+00,1.87E+01,-4.76E+00,-4.31E+01,4.72E+01
3.93E+00,1.89E+01,-2.96E+00,-4.34E+01,4.74E+01
3.95E+00,1.96E+01,-2.06E+00,-4.28E+01,4.71E+01
3.97E+00,1.77E+01,-3.87E+00,-4.35E+01,4.71E+01
3.99E+00,2.01E+01,-2.06E+00,-4.35E+01,4.80E+01
4.01E+00,1.78E+01,-3.71E+00,-4.26E+01,4.63E+01
4.03E+00,1.80E+01,-3.41E+00,-4.31E+01,4.68E+01
4.05E+00,1.84E+01,-8.64E-01,-4.26E+01,4.64E+01
4.07E+00,1.92E+01,-4.31E+00,-4.13E+01,4.57E+01
4.09E+00,1.90E+01,-1.76E+00,-4.38E+01,4.78E+01
4.11E+00,1.95E+01,-2.96E+00,-4.34E+01,4.76E+01
4.13E+00,2.02E+01,-1.61E+00,-4.16E+01,4.62E+01
4.15E+00,1.68E+01,-2.21E+00,-4.19E+01,4.52E+01
4.17E+00,1.53E+01,-7.14E-01,-3.98E+01,4.26E+01
4.19E+00,1.87E+01,-3.11E+00,-4.28E+01,4.68E+01
4.21E+00,1.78E+01,-2.96E+00,-4.23E+01,4.60E+01
4.23E+00,1.89E+01,-1.61E+00,-4.37E+01,4.76E+01
4.25E+00,1.90E+01,-1.76E+00,-4.17E+01,4.59E+01
4.27E+00,1.66E+01,-3.41E+00,-4.14E+01,4.48E+01
4.29E+00,1.83E+01,-2.81E+00,-4.41E+01,4.78E+01
